address,zipcode,bathrooms,bedrooms,dateposted,description,type,latitude,Area,longitude,price,built
528 S 19th Ave SW,T2S0E2,2.0,3.0,2022-12-19,"INCREDIBLE LOCATION IN CLIFF BUNGLOW situated on a 25' x 120' lot - with a property featuring over 1,300 Sq Ft of living space. There are multiple options for this property - you just need a vision!  Located within walking distance to Calgary's vibrant 4th street mission entertainment district, extensive Bow River pathway system, shops and restaurants, schools, shopping, MNP centre, Sheldon Chumir, public transit, and downtown Calgary. Please call for inquires & property details!",SINGLE_FAMILY,51.03616,,-114.07312,490000,1912.0
14 E Rowley Gdns NW,T3L2M4,3.0,4.0,2022-12-20,"Welcome to this brand new single family home in Rockland Park (Haskayne). It has been fully  upgraded, features 4 bedrooms, 3 full bathrooms, front facing bonus room, large covered balcony on 2nd floor, 2208 sqft, 9 feet ceiling, LVP floor on the main floor, triple glazed windows, quartz counter tops in the kitchen and bathrooms, upgraded full wood railing on the stairs.  Main floor bright great room features living room with electric fireplace, spacious dining area next to the sliding patio door leads to the backyard. Upgraded kitchen island, full-height cabinets, walk in pantry, high efficiency chimney hood fan, stainless steel appliances. Main floor has a large windowed bedroom and full bathroom can be used as a guest bedroom or home office.  Upstairs you will find an impressive front facing bonus room, large, bright and give you enough relaxation and privacy. A fully covered balcony with sliding door is next to the bonus room, this area is perfect for outdoor lover, and enteraining family and friends on. Upper floor also includes large and bright master bedroom, 5-piece ensuite with double vanity sinks, separated shower and bathtub , walk-in closet with door. A windowed functioning designed laundry room.  Two more bedrooms and a 4-piece bathroom as well.  Basement can be accessed through a separated entrance door, 2 large windows, and bathroom rough in. Ready for future development.  Rockland Park is a master-planned nature-filled community located beside Bow River. Surrounded by natural landscapes, pond, trails connect to river and mountain parks will lead you to an active lifestyle!  Easy access to Crowchild Trail, Stoney Trail, Highway 1.",SINGLE_FAMILY,51.10566,2208.0,-114.26892,769900,2022.0
126 Sovereign Cmn #W,T3C1K2,3.0,2.0,2022-12-03,"Crown Park's open-concept, two and three-bedroom City Townhomes are filled with natural light and capture parkside views from spacious main level balconies. Contemporary styling with urban angles, these unique back-to-back designs maximize livable space above one or two-car garages.",TOWNHOUSE,51.0432,1315.0,-114.1204,549781,2022.0
335 S Garry Cres NE #301,T2K5X1,2.0,2.0,2022-12-19,"Welcome to this well maintained unit on the third floor, WIth lots of upgrades including flooring, light fixtures, the entire kitchen including stainless steel appliances, both bathrooms also updated. This unit offers a spacious living room with a wood burning fireplace & patio doors that lead to the west facing deck.  Dining area. 4pc bath, 2 good size bedrooms & a Primary bedroom 2pc en suite. Don't miss this great opportunity",APARTMENT,51.09638,,-114.056,202000,1980.0
1414 N 17th St SE #103,T2G5S6,2.0,2.0,2022-12-20,"Located in the Sought after community of Inglewood offering a bright & open concept ,laminate flooring, knockdown ceilings, BBQ gas hookup and an abundance of natural light! This ground floor unit has a large patio, corner gas fireplace in the living room, a perfect kitchen w/ raised eating bar & stainless steel appliances. Very spacious entryway w/ in-suite laundry. Huge primary bedroom w/ walk-in closet & 4pc ensuite adjacent to large 2nd bedroom w/ great lighting & a second 4pc bath. 1 underground parking w/ 1 spacious storage locker & is complete w/ a fitness room, party/lounge room, bike storage & an outdoor courtyard area. Close to downtown, shops, restaurants, schools, pathways, Bow River, Deerfoot Trail, Blackfoot Trail.",APARTMENT,51.04012,858.0,-114.020454,299999,2003.0
154 Rowley Way NW,T3L2M4,3.0,2.0,2022-12-03,"Flexibility, open spaces and strategic functionality are just a few of the in-demand considerations that motivated The Oak's impressive and insightful floorplans.The staircase leads down to the optional developed basement, or upstairs where you can retreat to more private, but equally inspiring spaces. At the top of the stairs, two full-sized bedrooms are separated from the master bedroom by a full bathroom and open Entertainment Room. In addition to providing separation, the entertainment room acts as both an escape from the main floor and a gathering place for movies, music or games night. This home features:- Dual primary suites- Foyer- Chimney hoodfan- Dual sinks in ensuite- Tiled shower- 4 pot lights in great room- Gas to range and BBQ- 200 amp panel- Basement laundry and sink rough-in- $5000 studio- Gas fireplace- Railing - 9' foundation- Side entrance",MULTI_FAMILY,51.10554,1697.0,-114.2715,558472,2022.0
172 N Savanna Walk NE,T3J0Y3,3.0,3.0,2022-12-20,"Welcome to this three storey with attached garage, newer house and all that at such a low cost. A bright and welcoming main floor emphasized by 9-ft ceilings, an open concept layout, many large windows allowing an abundance of natural light, and access to a lovely covered deck. With over 1500 sq ft (RMS) of living space, this modern and stylish 3 BEDROOM/ 2.5 BATHROOM townhome is located in a quiet part of the complex The living room, kitchen and dining area flow together and lead outside to a generous walk-out balcony. Let's talk about the kitchen! Kitchen features white cabinetry, ample storage space, exquisite quartz counters, stainless steel appliances and beautiful back splash. Main level also includes a convenient pantry and laundry room. Now making our way to the third level we find a spacious Primary Bedroom w/walk in closet and its own 4-piece ensuite. Bedroom 2 has access to private deck. Another good-sized bedroom, full bath and utility room complete the level. Lower-level offers storage options as well as the oversized Single Attached Garage. Walking distance to all amenities including coffee shops, restaurants, playgrounds, and a short drive to LRT and the Genesis center YMCA. Easy access to all major routes. Hurry up and book your private showing today",TOWNHOUSE,51.135914,,-113.95351,389000,2020.0
55 NW Aspen Stone Grv SW,T3H0H3,4.0,4.0,2022-12-19,"Welcome Home to Aspen Woods! West-facing backyard | LIGHT & BRIGHT | 5 Beds & 3.5 Baths | OVERSIZED Double car Garage | Offers over 3,900 sqft of finished living space. The main level is the heart of this home!!  New laminate flooring throughout, freshly painted, open concept style is the perfect place to congregate. The Main floor offers Spacious Formal Living room, Formal Dining room, grand kitchen with granite countertops, stainless steel appliances, quality cabinets and a large island with breakfast bar. The broad Family room with gas fireplace which can accommodate a sofa large enough for everyone. Out off the dining area is a large deck, perfect for grilling and extending the outdoor living season. Finishing this level is an office space, 2 pc bath & a Mud room. On the upper level, the master suite offers a huge walk-in closet, a 5 pc ensuite. The bonus room has plenty of room for all. The 2 other good size Bedroom, 4 pc Bath and Laundry completes the 2nd floor. Fully finished Walk-out basement includes illegal Suite with its separate entrance along with a large Rec/Family room, private capacious Kitchen, 2 good size bedrooms, 4pc Bath, Laundry hookups and Furnace room with storage area. Close to Webber Academy & Calgary Academy. Steps to all the amenities of Aspen Landing. Minutes to Ernest Manning, Rundle College, and Westside Recreation Centre. Close to Win-sport & Glencoe Golf & Country Club. Quick access to 85 St & 17th Ave SW.  BOOK YOUR SHOWING TODAY!!",SINGLE_FAMILY,51.045574,2751.0,-114.21257,1140000,2007.0
133 Sovereign Cmn #W,T3C1K2,2.0,3.0,2022-11-30,The flow of a bungalow in a two or three-bedroom townhome brings new thinking to single-level living. Light-filled rooms spill onto patios and balconies with park or city views putting the outdoors at the heart of the home. And there's the added luxury of a double attached garage with additional storage on the lower level.,TOWNHOUSE,51.0432,1584.0,-114.1204,738075,2022.0
145 N Point Dr NW #1608,T3B4W1,2.0,2.0,2022-12-20,"INCREDIBLE VIEW(One of the best units in the building with both city and rivers views)…Prepare to be impressed when you enter this sophisticated and spacious 2 bedroom 1.5 bath condo with over 1000+ sqft of living space to enjoy. This contemporary apartment has been completely re designed to offer all the ammenities neccessary for luxury living. High end finishings throughout with upgraded appliances, built in closets and cabnietry storage, engineered hardwood flooring throughout, sleek bathroom tiling and fixtures. This soundproof concrete complex presents a recently updated lobby where 24 hour secuirty and friendly concierge staff to greet all residents and visitors. Every convenience available and just steps away to the adjoining leisure facilities for health, fitness and entertainment. Minutes from downtown with easy access to public transit. Perfectly positioned next to the bow river parks and pathways. This home features all the comforts including in suite laundry and walk in storage room with built in shelving. Underground heated parking that includes a car wash bay and access to your own private secured storage unit. A must see!!",APARTMENT,51.061913,1025.0,-114.14691,379000,1979.0
237 Sovereign Cmn #W,T3C1K2,3.0,2.0,2022-11-30,"Crown Park's open-concept, two and three-bedroom City Townhomes are filled with natural light and capture parkside views from spacious main level balconies. Contemporary styling with urban angles, these unique back-to-back designs maximize livable space above one or two-car garages.",TOWNHOUSE,51.0432,1436.0,-114.1204,579300,2022.0
1206 N Evanston Dr NW,T3P0J9,3.0,3.0,2022-12-19,"This bright and beautiful Evanston home offers tons of space and a stellar location! A large entryway opens to a large living area that captures tons of morning light thanks to gorgeous big windows. In the kitchen, rich dark wood cabinetry is a stunning contrast with the light maple hardwood floors. Plentiful granite countertops extend into a credenza, perfect for a home workspace or additional prep area. An eat-up island centres the space and overlooks the dining room, where sliding glass doors provide access to the deck and bring lovely southwest views inside as you eat. There is also a powder room on this level, an ideal layout for busy families and hosting guests. Upstairs, the primary suite is a peaceful haven complete with a walk-in closet and a stylish full ensuite. There are two more bedrooms on this floor, as well as another well-appointed bathroom and laundry! If you have been wishing for a dream lower level, here is your chance to create it. The unfinished basement already has plumbing rough-ins as well as large windows, so it’s ready for your development ideas. Outside, enjoy the amazing Alberta sunsets from your private deck, as you watch the kids and pets play on the lawn. Manicured beds along the side of the detached double garage will make the family gardener happy, and your plants will adore the sun coming from the south all day. Now, back to location – this home is walking distance from parks and schools as well as the multitude of shops at Evanston Towne Centre. This area of Calgary is well-serviced by transit, with a bus stop within a half-block, and access to primary routes like 14 St and Stoney Trail make commuting a breeze. Of course, if you would rather escape to the mountains, you can easily get out of town in just minutes as well. See this one today!",MULTI_FAMILY,51.178352,,-114.1059,489900,2012.0
121 Sovereign Cmn #W,T3C1K2,2.0,3.0,2022-11-30,The flow of a bungalow in a two or three-bedroom townhome brings new thinking to single-level living. Light-filled rooms spill onto patios and balconies with park or city views putting the outdoors at the heart of the home. And there's the added luxury of a double attached garage with additional storage on the lower level.,TOWNHOUSE,51.0432,1341.0,-114.1204,663260,2022.0
81 W Greenbriar Pl NW #122,T3B6J1,3.0,2.0,2022-12-19,"This luxurious executive condo is located in the heart of Greenwich and just steps from the New Calgary farmers market!  With no expense spared on architectural finishes, you will find a beautiful brick exterior, tons of gorgeous triple pane windows, a covered deck area, and a double tandem garage!  This stunning two bedroom unit offers many upgrades such as Luxury Vinyl Plank flooring throughout the main, quartz countertops, stainless upgraded appliances and 9 ceilings on the main and first floor.  The gourmet kitchen is central in the home and boasts a huge island, which is perfect for entertaining! With a large west facing living room bringing in loads of light and a good sized dining area with plenty of room.  Upstairs are two good sized bedrooms, two full baths which include Luxury Vinyl Floor Tile flooring and the main bath has a 5’ stand up shower. The laundry room is conveniently located upstairs as well!  With easy access to downtown (18-20 min) and a quick 12 minute drive to the University and hospital, COP is close by and it's  just a 45 Minute drive to Canmore!  This home is perfectly located to meet your lifestyle needs!  * Photos are a former showhome, colors and finishes may vary.",TOWNHOUSE,51.088093,,-114.216064,499900,2023.0
128 Sovereign Cmn #W,T3C1K2,3.0,2.0,2022-11-30,"Crown Park's open-concept, two and three-bedroom City Townhomes are filled with natural light and capture parkside views from spacious main level balconies. Contemporary styling with urban angles, these unique back-to-back designs maximize livable space above one or two-car garages.",TOWNHOUSE,51.0432,1315.0,-114.1204,523715,2022.0
159 SW Royal Birkdale Cres NW,T3G5R6,4.0,6.0,2022-12-15,"5 things we love about 159 Royal Birkdale Crescent NW (& we’re sure you will too): 1. LOCATION IN THE COMMUNITY: Royal Birkdale is a small enclave located in central Royal Oak. You're a short walk to both schools & the ravine along with parks/playgrounds & Royal Oak Estates Shopping Centre; home to local favorite Il Forno Fusion & 12 other restaurants/services including daycare & liquor store. The Tuscany LRT station & Shane Homes YMCA are also close-by (25 minute walk). 2. ROOM TO LIVE + ROOM TO GROW: With 6 beds, 3.5 baths, main floor office, formal living room, relaxing main floor family room & developed basement this is a full-size home! The spacious & refined main floor features a comfortable formal front living + dining room with double height ceilings & extra windows while leading into a classic-style great room. The kitchen is perfectly equipped with white cabinets, quartz counters, breakfast bar, subway tile backsplash & ample work/storage space including corner pantry while opening up onto a nicely proportioned dining nook. The family room easily accommodates your furnishings & is accented by central gas fireplace. Upstairs find 4 well-proportioned bedrooms & a large laundry room. The king-sized primary bed is wonderfully appointed with 5-piece ensuite including XL corner tub & large walk-in closet. The developed basement is ideally setup for multi-generational living or student refuge with 2 beds, 4-piece bath, rec room with wet bar & a ton of storage space.  3. THOSE CEILINGS: This is your welcome home moment: dramatic, double height ceilings & an upper floor mezzanine create a sense of grandeur & airiness typically reserved for homes found in the inner city. 4. MORE THAN YOU EXPECT: This home has been smartly & beautifully updated over the years by Q2 Developments. Upgrades include: Luxury Vinyl Plank flooring thought the entire main floor (with no transitions), a refreshed kitchen & main floor powder room + invisible speakers in the great room. A not-so-typical basement development includes spray foam insulation in the walls & dricore subfloor along with hardwood floors, built-in speakers & two large storage rooms + the utility room. Other updates/upgrades include central vacuum, hot water on demand system, roof shingles (2022), furnace (2020), hot water tank (2017) & upgraded spray foam insulation in the attic. 5. A CONVENIENT + FAMILY ORIENTED NEIGHBOURHOOD: Royal Oak is the epitome of Northwest Calgary living with homes to fit every family, lifestyle &  budget. Residents enjoy many green spaces, parks, playgrounds, a community garden, pathway system and community skating rink & walking distance to schools; Royal Oak School (K-4) + William D Pratt (5-9). Along with enjoying the multitude of shopping, restaurants and services along Country Hills Blvd and the amazing Shane Homes YMCA (the 2nd largest YMCA in North America). Commuting is a breeze with easy access to Crowchild & Stoney Trails + the Tuscany LRT station.",SINGLE_FAMILY,51.14541,2351.0,-114.22656,724900,2004.0
3407 E 10th St SW,T2T3H7,7.0,5.0,2022-09-14,"Proudly presenting this stunning smart home in Elbow Park, offering the best of contemporary living. Over 6000 sq ft of luxurious living space, loaded with upgrades and extras not typically found. Located just steps around the corner from the school, and sitting on a 65"" wide lot with a large, low-maintenance west-facing backyard, this home will surely impress discerning buyers. Impeccable design and craftsmanship throughout. The dramatic, 2-story foyer welcomes you upon entering, with dual chandeliers and a glass staircase. Main floor den overlooks the quiet street in front. The huge kitchen is a chef's dream, with dual fridge/freezers, 2 dishwashers, 2 garburators, 6 burner gas range w/ griddle, steam oven and additional convection oven. (Additional freezer/fridge in bsmt.) Formal dining room with custom built-ins and hidden warming drawer.  High-end appliance package. Main floor also features a rare full bedroom and ensuite with yard entrance - perfect for a nanny or family member. Upstairs features a sprawling master retreat, with dressing room and spa ensuite (dual vanities, heated floors, oversized walk-in shower with steam, etc). One private balcony off the master wing, plus another second upper balcony for guests. Two add'l bedrooms upstairs, each with full ensuite and walk-in closets with custom organizers. Each floor in this house has its own laundry facilities to make life extra easy! Well-planned basement with professional wine cellar, high-end theatre room (complete w/ projector, screen and speakers), gym (5th bedroom) w/ ensuite, and huge rec room. Easy maintenance back yard with deck, patio, hot tub, outdoor fireplace, and several gas connections for grills, heaters, etc. Other details of this home include: security monitoring and cameras, yard irrigation, heated eaves, 6 gas fireplaces, central AC (upper floor), numerous motorized blinds, integrated smart home control....the list goes on! This gorgeous home features a total of 5 bedrooms (3+1+1) and 7 bathrooms. Oversized attached double garage could potentially accommodate 3 vehicles. There are simply too many details of this home to describe - must be seen in person to fully appreciate the detail and quality offered in this home. Check out the virtual tour in the link.",SINGLE_FAMILY,51.02366,4076.0,-114.08834,3400000,2013.0
235 Sovereign Cmn #W,T3C1K2,3.0,2.0,2022-11-30,"Crown Park's open-concept, two and three-bedroom City Townhomes are filled with natural light and capture parkside views from spacious main level balconies. Contemporary styling with urban angles, these unique back-to-back designs maximize livable space above one or two-car garages.",TOWNHOUSE,51.0432,1315.0,-114.1204,562842,2022.0
88 NW Pensacola Clos SE,T2A2K4,3.0,3.0,2022-12-16,"Beautifully renovated home on a HUGE lot with Southeast facing backyard!  Outside is gorgeous with fantastic curb appeal, nicest on the block! New WINDOWS throughout and ROOF recently redone. A modern design with wall-to-wall real HARDWOOD floors, stunning new kitchen with QUARTZ counters, soft close doors, STAINLESS STEEL appliances and more. This home boasts tons of natural light. Bathroom is a full 4 piece and completely redone and all the bedrooms are ample including your Primary with ENSUITE bathroom. Your basement suite (illegal) features a separate entrance, 3-piece bathroom and stainless-steel appliances. Other featured include OVERSIZED 2 CAR GARAGE, AIR CONDITIONING,, R.V. parking with 2 gates, a yard will be the envy of your neighbours.  Close to shopping, schools and transit.  A must see!",SINGLE_FAMILY,51.038593,1238.0,-113.952965,499900,1970.0
244 Sovereign Cmn #W,T3C1K2,3.0,3.0,2022-11-30,"With skyline views and unique layouts, many homes feature rooftop and walk-out patios to maximize outdoor living space. The modern design of Crown Park's two and three-bedroom Urban Rowhomes announce three-level living with one or two-car garages. Flexibility is built-in with adaptable spaces for gym, office, hobby room, or an additional bedroom on select walk-out units.",TOWNHOUSE,51.0432,2180.0,-114.1204,882000,2022.0
127 Sovereign Cmn #W,T3C1K2,2.0,3.0,2022-11-30,The flow of a bungalow in a two or three-bedroom townhome brings new thinking to single-level living. Light-filled rooms spill onto patios and balconies with park or city views putting the outdoors at the heart of the home. And there's the added luxury of a double attached garage with additional storage on the lower level.,TOWNHOUSE,51.0432,1341.0,-114.1204,649075,2022.0
138 E Marquis Cmn SE,T3M1N7,3.0,3.0,2022-12-13,"This BEAUTIFUL home is in the DESIRABLE LAKE Community of MAHOGANY. It is IMMACULATE from TOP to BOTTOM, with over 1300 Sq.Ft of DEVELOPED Living space + LOADED with STUNNING finishing's - you will DEFINITELY be IMPRESSED! Presenting the Verso plan in the award winning community of Mahogany, this front facing living room showcased by a gas fireplace, opens up to a dream kitchen featuring a large island, with seating up to 4, stainless steel appliances and loads of counter and cupboard space. The 3 added picture windows glistens the dining area all while the open design from front to back, allows this mid dining area enough space to host family dinners. This 2-storey home features an open floor plan with hardwood flooring, 9 foot ceilings and a bright and open area throughout the main floor. The back of the home offers an entrance to the yard, 2pc bath, a generous pantry and upgraded kitchen features. The upper plan begins with two good-sized bedrooms overlooking the back yard while the large master overlooks the front. This perfect master ensuite features dual sinks, standup shower, and a walk in closet built for two. To complete the level, it equipt's a 4-piece bathroom and a convenient laundry room closet. The basement is ready to go for future development and personal touches. Bring your guests outside to sit and enjoy the summer nights on this beautifully designed deck with a gracious amount of seating and private west facing back yard all while leading to a two car garage. Living in Mahogany is like no other. With so much to do and close to all your needs there's no reason not to enjoy living here. This home is on a quiet street and steps to a playground that connects to a regional pathway system. It's a lifestyle. From skating and swimming at the private lake to a large variety of pathways for walking, running and biking all year round. It's also only two minutes from the Catholic elementary and brand new public elementary schools. Please book your showing today !",SINGLE_FAMILY,50.904907,,-113.92317,499900,2014.0
233 Sovereign Cmn #W,T3C1K2,3.0,2.0,2022-11-30,"Crown Park's open-concept, two and three-bedroom City Townhomes are filled with natural light and capture parkside views from spacious main level balconies. Contemporary styling with urban angles, these unique back-to-back designs maximize livable space above one or two-car garages.",TOWNHOUSE,51.0432,1315.0,-114.1204,562842,2022.0
